arc_length,rho
0.0049729,0.021418
0.0049787,0.021423
0.0049846,0.021428
0.0049904,0.021433
0.0049963,0.021437
0.0050022,0.021442
0.005008,0.021447
0.0050139,0.021452
0.0050197,0.021457
0.0050256,0.021462
0.0050314,0.021467
0.0050373,0.021472
0.0050432,0.021477
0.005049,0.021482
0.0050549,0.021487
0.0050607,0.021492
0.0050666,0.021497
0.0050724,0.021502
0.0050783,0.021507
0.0050842,0.021513
0.00509,0.021518
0.0050959,0.021523
0.0051017,0.021528
0.0051076,0.021533
0.0051135,0.021539
0.0051193,0.021544
0.0051252,0.02155
0.005131,0.021555
0.0051369,0.02156
0.0051427,0.021566
0.0051486,0.021571
0.0051545,0.021576
0.0051603,0.021582
0.0051662,0.021587
0.005172,0.021593
0.0051779,0.021599
0.0051837,0.021604
0.0051896,0.02161
0.0051955,0.021615
0.0052013,0.021621
0.0052072,0.021627
0.005213,0.021632
0.0052189,0.021638
0.0052247,0.021644
0.0052306,0.021649
0.0052365,0.021655
0.0052423,0.021661
0.0052482,0.021667
0.005254,0.021672
0.0052599,0.021678
0.0052657,0.021684
0.0052716,0.02169
0.0052775,0.021696
0.0052833,0.021702
0.0052892,0.021708
0.005295,0.021714
0.0053009,0.02172
0.0053067,0.021725
0.0053126,0.021731
0.0053185,0.021737
0.0053243,0.021743
0.0053302,0.021749
0.005336,0.021755
0.0053419,0.021761
0.0053477,0.021767
0.0053536,0.021774
0.0053595,0.02178
0.0053653,0.021786
0.0053712,0.021792
0.005377,0.021798
0.0053829,0.021804
0.0053887,0.02181
0.0053946,0.021816
0.0054005,0.021823
0.0054063,0.021829
0.0054122,0.021835
0.005418,0.021841
0.0054239,0.021847
0.0054297,0.021854
0.0054356,0.02186
0.0054415,0.021866
0.0054473,0.021872
0.0054532,0.021878
0.005459,0.021885
0.0054649,0.021891
0.0054707,0.021897
0.0054766,0.021904
0.0054825,0.02191
0.0054883,0.021916
0.0054942,0.021923
0.0055,0.021929
0.0055059,0.021935
0.0055117,0.021942
0.0055176,0.021948
0.0055235,0.021954
0.0055293,0.021961
0.0055352,0.021967
0.005541,0.021973
0.0055469,0.02198
0.0055528,0.021986
0.0055586,0.021993
0.0055645,0.021999
0.0055703,0.022005
0.0055762,0.022012
0.005582,0.022018
0.0055879,0.022025
0.0055938,0.022031
0.0055996,0.022038
0.0056055,0.022044
0.0056113,0.02205
0.0056172,0.022057
0.005623,0.022064
0.0056289,0.022071
0.0056348,0.022078
0.0056406,0.022085
0.0056465,0.022092
0.0056523,0.022099
0.0056582,0.022106
0.005664,0.022113
0.0056699,0.02212
0.0056758,0.022124
0.0056816,0.022127
0.0056875,0.022131
0.0056933,0.022135
0.0056992,0.022138
0.005705,0.022142
0.0057109,0.022146
0.0057168,0.022149
0.0057226,0.022153
