arc_length,rho
0.004721,0.021276
0.0047269,0.02128
0.0047327,0.021283
0.0047386,0.021286
0.0047444,0.02129
0.0047503,0.021293
0.0047562,0.021297
0.004762,0.0213
0.0047679,0.021304
0.0047737,0.021307
0.0047796,0.021311
0.0047854,0.021314
0.0047913,0.021317
0.0047972,0.021321
0.004803,0.021324
0.0048089,0.021328
0.0048147,0.021331
0.0048206,0.021335
0.0048264,0.021338
0.0048323,0.021342
0.0048382,0.021345
0.004844,0.021349
0.0048499,0.021352
0.0048557,0.021356
0.0048616,0.021359
0.0048674,0.021363
0.0048733,0.021366
0.0048792,0.02137
0.004885,0.021374
0.0048909,0.021377
0.0048967,0.021381
0.0049026,0.021385
0.0049084,0.021388
0.0049143,0.021392
0.0049202,0.021396
0.004926,0.021399
0.0049319,0.021403
0.0049377,0.021407
0.0049436,0.021411
0.0049494,0.021414
0.0049553,0.021418
0.0049612,0.021422
0.004967,0.021426
0.0049729,0.02143
0.0049787,0.021434
0.0049846,0.021437
0.0049904,0.021441
0.0049963,0.021446
0.0050022,0.02145
0.005008,0.021454
0.0050139,0.021458
0.0050197,0.021462
0.0050256,0.021466
0.0050314,0.02147
0.0050373,0.021474
0.0050432,0.021478
0.005049,0.021483
0.0050549,0.021487
0.0050607,0.021492
0.0050666,0.021496
0.0050724,0.0215
0.0050783,0.021505
0.0050842,0.021509
0.00509,0.021514
0.0050959,0.021518
0.0051017,0.021522
0.0051076,0.021527
0.0051135,0.021532
0.0051193,0.021536
0.0051252,0.021541
0.005131,0.021546
0.0051369,0.021551
0.0051427,0.021555
0.0051486,0.02156
0.0051545,0.021565
0.0051603,0.021569
0.0051662,0.021574
0.005172,0.021579
0.0051779,0.021584
0.0051837,0.021589
0.0051896,0.021594
0.0051955,0.021599
0.0052013,0.021604
0.0052072,0.021609
0.005213,0.021614
0.0052189,0.02162
0.0052247,0.021625
0.0052306,0.02163
0.0052365,0.021635
0.0052423,0.021641
0.0052482,0.021646
0.005254,0.021651
0.0052599,0.021656
0.0052657,0.021662
0.0052716,0.021667
0.0052775,0.021672
0.0052833,0.021678
0.0052892,0.021683
0.005295,0.021689
0.0053009,0.021694
0.0053067,0.0217
0.0053126,0.021705
0.0053185,0.02171
0.0053243,0.021716
0.0053302,0.021721
0.005336,0.021727
0.0053419,0.021733
0.0053477,0.021738
0.0053536,0.021744
0.0053595,0.021749
0.0053653,0.021755
0.0053712,0.021761
0.005377,0.021766
0.0053829,0.021772
0.0053887,0.021777
0.0053946,0.021783
0.0054005,0.021789
0.0054063,0.021795
0.0054122,0.0218
0.005418,0.021806
0.0054239,0.021812
0.0054297,0.021817
0.0054356,0.021823
0.0054415,0.021829
0.0054473,0.021834
0.0054532,0.02184
0.005459,0.021846
0.0054649,0.021852
0.0054707,0.021857
0.0054766,0.021863
0.0054825,0.021869
0.0054883,0.021875
0.0054942,0.02188
0.0055,0.021886
0.0055059,0.021892
0.0055117,0.021898
0.0055176,0.021903
0.0055235,0.021909
0.0055293,0.021915
0.0055352,0.021921
0.005541,0.021926
0.0055469,0.021932
0.0055528,0.021938
0.0055586,0.021944
0.0055645,0.021949
0.0055703,0.021955
0.0055762,0.02196
0.005582,0.021966
0.0055879,0.021972
0.0055938,0.021977
0.0055996,0.021983
0.0056055,0.021989
0.0056113,0.021994
0.0056172,0.022
0.005623,0.022006
0.0056289,0.022012
0.0056348,0.022018
0.0056406,0.022024
0.0056465,0.022031
0.0056523,0.022037
0.0056582,0.022043
0.005664,0.022049
0.0056699,0.022055
0.0056758,0.022058
0.0056816,0.022062
0.0056875,0.022065
0.0056933,0.022068
0.0056992,0.022071
0.005705,0.022074
0.0057109,0.022078
0.0057168,0.022081
0.0057226,0.022084
