"p","U:0","U:1","U:2","T","U_0:0","U_0:1","U_0:2","alphat","epsilon","epsilon_0","k","k_0","nut","rho","rho_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
716.79,107.32,-1.7743,176.33,195.97,107.29,-1.7915,176.31,1.0773e-005,3.3656e+008,3.3652e+008,1506.9,1506.8,0.00060938,0.017597,0.017596,1,0.00094889,0.0019798,-1e-005,0.0035356
717.52,109.39,-1.7647,178.69,195.1,109.37,-1.784,178.67,1.1005e-005,3.4752e+008,3.4749e+008,1543.3,1543.2,0.000619,0.017695,0.017694,1,0.00095475,0.0019739,-1e-005,0.0035356
718.25,111.47,-1.7552,181.05,194.23,111.44,-1.7767,181.03,1.1237e-005,3.5849e+008,3.5845e+008,1579.7,1579.6,0.00062862,0.017793,0.017792,1,0.0009606,0.0019681,-1e-005,0.0035356
718.98,113.54,-1.7459,183.42,193.36,113.52,-1.7694,183.39,1.147e-005,3.6946e+008,3.6942e+008,1616.2,1616,0.00063824,0.017892,0.017891,1,0.00096646,0.0019622,-1e-005,0.0035356
719.71,115.62,-1.7366,185.78,192.49,115.59,-1.7623,185.76,1.1702e-005,3.8043e+008,3.8039e+008,1652.6,1652.4,0.00064786,0.01799,0.017989,1,0.00097232,0.0019563,-1e-005,0.0035356
720.44,117.69,-1.7275,188.14,191.62,117.67,-1.7553,188.12,1.1935e-005,3.9139e+008,3.9135e+008,1689,1688.9,0.00065749,0.018088,0.018087,1,0.00097817,0.0019505,-1e-005,0.0035356
721.17,119.77,-1.7185,190.5,190.75,119.74,-1.7484,190.48,1.2167e-005,4.0236e+008,4.0232e+008,1725.4,1725.3,0.00066711,0.018186,0.018186,1,0.00098403,0.0019446,-1e-005,0.0035356
721.64,122.36,-1.6318,193.74,189.5,122.33,-1.663,193.71,1.241e-005,4.1351e+008,4.1347e+008,1758.7,1758.6,0.00067467,0.018329,0.018328,1,0.00098989,0.0019388,-1e-005,0.0035356
722.09,124.98,-1.5404,197.03,188.22,124.96,-1.5728,197,1.2653e-005,4.2466e+008,4.2463e+008,1791.8,1791.7,0.00068211,0.018474,0.018474,1,0.00099575,0.0019329,-1e-005,0.0035356
722.54,127.6,-1.4492,200.32,186.94,127.58,-1.4829,200.29,1.2896e-005,4.3582e+008,4.3578e+008,1824.9,1824.8,0.00068955,0.01862,0.018619,1,0.0010016,0.0019271,-1e-005,0.0035356
722.99,130.23,-1.3582,203.61,185.66,130.2,-1.3932,203.58,1.3139e-005,4.4697e+008,4.4694e+008,1858,1857.9,0.00069698,0.018765,0.018765,1,0.0010075,0.0019212,-1e-005,0.0035356
723.44,132.85,-1.2674,206.9,184.39,132.83,-1.3036,206.87,1.3382e-005,4.5813e+008,4.581e+008,1891.1,1891,0.00070442,0.018911,0.01891,1,0.0010133,0.0019153,-1e-005,0.0035356
723.89,135.47,-1.1767,210.19,183.11,135.45,-1.2143,210.16,1.3625e-005,4.6929e+008,4.6925e+008,1924.2,1924.1,0.00071186,0.019056,0.019056,1,0.0010192,0.0019095,-1e-005,0.0035356
724.34,138.09,-1.0863,213.48,181.83,138.07,-1.1252,213.45,1.3868e-005,4.8044e+008,4.8041e+008,1957.3,1957.3,0.00071929,0.019202,0.019201,1,0.001025,0.0019036,-1e-005,0.0035356
724.79,140.72,-0.99614,216.76,180.55,140.7,-1.0362,216.74,1.4111e-005,4.916e+008,4.9157e+008,1990.4,1990.4,0.00072673,0.019347,0.019347,1,0.0010309,0.0018978,-1e-005,0.0035356
725.24,143.34,-0.90614,220.05,179.28,143.32,-0.94749,220.03,1.4354e-005,5.0275e+008,5.0272e+008,2023.5,2023.5,0.00073417,0.019492,0.019492,1,0.0010367,0.0018919,-1e-005,0.0035356
725.6,146.08,-0.80701,223.56,177.89,146.06,-0.84926,223.53,1.4596e-005,5.1332e+008,5.1329e+008,2054.1,2054.1,0.00074074,0.019655,0.019655,1,0.0010426,0.0018861,-1e-005,0.0035356
725.59,149.27,-0.67256,227.9,176.08,149.25,-0.71434,227.87,1.4833e-005,5.2167e+008,5.2164e+008,2075.1,2075.1,0.000744,0.019882,0.019882,1,0.0010485,0.0018802,-1e-005,0.0035356
725.58,152.46,-0.53839,232.24,174.28,152.44,-0.5797,232.21,1.5069e-005,5.3001e+008,5.2999e+008,2096,2096.1,0.00074726,0.02011,0.02011,1,0.0010543,0.0018743,-1e-005,0.0035356
725.57,155.64,-0.4045,236.58,172.47,155.63,-0.44534,236.55,1.5306e-005,5.3835e+008,5.3833e+008,2117,2117.1,0.00075051,0.020337,0.020337,1,0.0010602,0.0018685,-1e-005,0.0035356
725.57,158.83,-0.2709,240.92,170.66,158.81,-0.31126,240.89,1.5543e-005,5.467e+008,5.4668e+008,2138,2138.1,0.00075377,0.020565,0.020565,1,0.001066,0.0018626,-1e-005,0.0035356
725.56,162.02,-0.13758,245.26,168.86,162,-0.17748,245.23,1.5779e-005,5.5504e+008,5.5503e+008,2159,2159,0.00075703,0.020792,0.020792,1,0.0010719,0.0018568,-1e-005,0.0035356
725.55,165.21,-0.0045541,249.6,167.05,165.19,-0.043977,249.57,1.6016e-005,5.6338e+008,5.6337e+008,2179.9,2180,0.00076029,0.02102,0.02102,1,0.0010777,0.0018509,-1e-005,0.0035356
725.54,168.4,0.12818,253.94,165.25,168.38,0.089226,253.91,1.6253e-005,5.7172e+008,5.7171e+008,2200.9,2201,0.00076354,0.021247,0.021247,1,0.0010836,0.0018451,-1e-005,0.0035356
725.53,171.59,0.26061,258.28,163.44,171.57,0.22213,258.25,1.6489e-005,5.8006e+008,5.8006e+008,2221.9,2222,0.0007668,0.021475,0.021475,1,0.0010895,0.0018392,-1e-005,0.0035356
725.52,174.77,0.39275,262.62,161.63,174.76,0.35474,262.59,1.6726e-005,5.8841e+008,5.884e+008,2242.8,2243,0.00077005,0.021702,0.021702,1,0.0010953,0.0018333,-1e-005,0.0035356
725.12,178.16,0.50762,267.4,159.55,178.14,0.47059,267.37,1.6953e-005,5.938e+008,5.938e+008,2254.2,2254.4,0.00077072,0.021994,0.021994,1,0.0011012,0.0018275,-1e-005,0.0035356
724.27,181.76,0.60335,272.67,157.17,181.75,0.56787,272.64,1.7169e-005,5.9592e+008,5.9593e+008,2255,2255.2,0.00076852,0.022358,0.022358,1,0.001107,0.0018216,-1e-005,0.0035356
723.42,185.37,0.69875,277.94,154.79,185.35,0.66483,277.91,1.7385e-005,5.9804e+008,5.9805e+008,2255.7,2255.9,0.00076632,0.022722,0.022722,1,0.0011129,0.0018158,-1e-005,0.0035356
722.57,188.97,0.79383,283.21,152.41,188.96,0.76145,283.18,1.7601e-005,6.0016e+008,6.0018e+008,2256.5,2256.7,0.00076412,0.023085,0.023085,1,0.0011188,0.0018099,-1e-005,0.0035356
721.72,192.58,0.88858,288.48,150.03,192.56,0.85775,288.45,1.7817e-005,6.0228e+008,6.0231e+008,2257.3,2257.5,0.00076191,0.023449,0.023449,1,0.0011246,0.0018041,-1e-005,0.0035356
720.87,196.18,0.98299,293.75,147.65,196.16,0.95371,293.72,1.8033e-005,6.044e+008,6.0443e+008,2258,2258.2,0.00075971,0.023813,0.023812,1,0.0011305,0.0017982,-1e-005,0.0035356
720.02,199.79,1.0771,299.02,145.26,199.77,1.0493,298.98,1.8249e-005,6.0651e+008,6.0655e+008,2258.8,2259,0.0007575,0.024176,0.024176,1,0.0011363,0.0017923,-1e-005,0.0035356
719.16,203.39,1.1708,304.29,142.88,203.37,1.1446,304.25,1.8465e-005,6.0863e+008,6.0868e+008,2259.5,2259.7,0.0007553,0.02454,0.02454,1,0.0011422,0.0017865,-1e-005,0.0035356
718.31,207,1.2642,309.55,140.5,206.97,1.2396,309.52,1.8681e-005,6.1075e+008,6.108e+008,2260.2,2260.5,0.00075309,0.024904,0.024903,1,0.001148,0.0017806,-1e-005,0.0035356
717.46,210.6,1.3572,314.82,138.12,210.58,1.3341,314.79,1.8897e-005,6.1286e+008,6.1292e+008,2261,2261.2,0.00075088,0.025267,0.025267,1,0.0011539,0.0017748,-1e-005,0.0035356
715.16,214.23,1.3765,320.34,135.44,214.2,1.3544,320.31,1.908e-005,6.094e+008,6.0947e+008,2245.8,2246.1,0.00074504,0.025757,0.025756,1,0.0011598,0.0017689,-1e-005,0.0035356
712.35,217.86,1.3696,325.95,132.66,217.84,1.3481,325.92,1.9251e-005,6.0397e+008,6.0405e+008,2225.1,2225.4,0.00073792,0.026291,0.02629,1,0.0011656,0.0017631,-1e-005,0.0035356
709.54,221.49,1.3623,331.56,129.88,221.47,1.3416,331.52,1.9423e-005,5.9853e+008,5.9862e+008,2204.3,2204.6,0.0007308,0.026825,0.026824,1,0.0011715,0.0017572,-1e-005,0.0035356
706.72,225.13,1.3548,337.16,127.1,225.1,1.3348,337.13,1.9594e-005,5.9309e+008,5.932e+008,2183.6,2183.8,0.00072368,0.027359,0.027358,1,0.0011773,0.0017513,-1e-005,0.0035356
703.91,228.76,1.347,342.77,124.32,228.73,1.3278,342.74,1.9765e-005,5.8766e+008,5.8777e+008,2162.8,2163.1,0.00071655,0.027893,0.027891,1,0.0011832,0.0017455,-1e-005,0.0035356
701.1,232.4,1.339,348.38,121.54,232.36,1.3205,348.35,1.9937e-005,5.8222e+008,5.8235e+008,2142.1,2142.3,0.00070943,0.028427,0.028425,1,0.001189,0.0017396,-1e-005,0.0035356
698.28,236.03,1.3307,353.99,118.76,236,1.3129,353.95,2.0108e-005,5.7678e+008,5.7692e+008,2121.3,2121.6,0.0007023,0.028962,0.028959,1,0.0011949,0.0017338,-1e-005,0.0035356
695.47,239.66,1.3221,359.59,115.98,239.63,1.305,359.56,2.0279e-005,5.7134e+008,5.7149e+008,2100.5,2100.8,0.00069518,0.029496,0.029493,1,0.0012008,0.0017279,-1e-005,0.0035356
692.65,243.3,1.3132,365.2,113.2,243.26,1.2968,365.16,2.0451e-005,5.659e+008,5.6606e+008,2079.8,2080,0.00068805,0.03003,0.030027,1,0.0012066,0.0017221,-1e-005,0.0035356
689.83,246.93,1.3038,370.8,110.41,246.89,1.2881,370.77,2.0622e-005,5.6045e+008,5.6062e+008,2059,2059.2,0.00068092,0.030564,0.030561,1,0.0012125,0.0017162,-1e-005,0.0035356
683.5,250.21,1.1992,375.78,107.67,250.17,1.1831,375.74,2.069e-005,5.498e+008,5.4998e+008,2024.5,2024.8,0.00067115,0.031193,0.03119,1,0.0012183,0.0017103,-1e-005,0.0035356
677.16,253.5,1.0946,380.75,104.93,253.46,1.078,380.71,2.0758e-005,5.3916e+008,5.3935e+008,1990.1,1990.4,0.00066139,0.031823,0.031818,1,0.0012242,0.0017045,-1e-005,0.0035356
670.83,256.78,0.98991,385.72,102.18,256.74,0.97286,385.69,2.0825e-005,5.2851e+008,5.2871e+008,1955.6,1955.9,0.00065162,0.032452,0.032447,1,0.00123,0.0016986,-1e-005,0.0035356
664.49,260.06,0.8851,390.69,99.438,260.02,0.86758,390.66,2.0893e-005,5.1786e+008,5.1807e+008,1921.2,1921.5,0.00064185,0.033082,0.033076,1,0.0012359,0.0016928,-1e-005,0.0035356
658.16,263.35,0.7802,395.66,96.694,263.3,0.76221,395.63,2.0961e-005,5.0722e+008,5.0743e+008,1886.8,1887,0.00063209,0.033711,0.033704,1,0.0012418,0.0016869,-1e-005,0.0035356
651.82,266.63,0.6752,400.63,93.951,266.59,0.65674,400.6,2.1029e-005,4.9657e+008,4.9679e+008,1852.3,1852.6,0.00062232,0.03434,0.034333,1,0.0012476,0.0016811,-1e-005,0.0035356
645.49,269.91,0.5701,405.6,91.207,269.87,0.55117,405.57,2.1097e-005,4.8592e+008,4.8614e+008,1817.9,1818.2,0.00061255,0.03497,0.034962,1,0.0012535,0.0016752,-1e-005,0.0035356
639.15,273.2,0.4649,410.57,88.463,273.15,0.44551,410.54,2.1165e-005,4.7527e+008,4.755e+008,1783.4,1783.7,0.00060278,0.035599,0.03559,1,0.0012593,0.0016693,-1e-005,0.0035356
632.82,276.48,0.3596,415.54,85.72,276.43,0.33974,415.51,2.1232e-005,4.6462e+008,4.6486e+008,1749,1749.3,0.00059301,0.036228,0.036219,1,0.0012652,0.0016635,-1e-005,0.0035356
625.59,279.64,0.24167,420.13,83.109,279.59,0.22149,420.1,2.1254e-005,4.537e+008,4.5394e+008,1713.8,1714.1,0.00058315,0.03683,0.03682,1,0.001271,0.0016576,-1e-005,0.0035356
615.9,282.46,0.088864,423.66,80.87,282.41,0.06882,423.63,2.1147e-005,4.4201e+008,4.4225e+008,1676.6,1676.9,0.00057299,0.037355,0.037344,1,0.0012769,0.0016518,-1e-005,0.0035356
